BehaviorSpace results (NetLogo 6.4.0),Spreadsheet version 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question 2 heating.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2025 18:27:20:476 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96,97,97,98,98,99,99,100,100
[reporter],[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption
[final],24,4248.864727,24,4193.504224,24,4287.377197,24,4181.339946,24,4285.766313,24,4272.830022,24,4189.112865,24,4271.373618,24,4244.7541,24,4183.25798,24,4236.154763,24,4139.347031,24,4196.186536,24,4213.618362,24,4162.316925,24,4358.381453,24,4327.096436,24,4230.428181,24,4201.22935,24,4196.660229,24,4245.025531,24,4203.527379,24,4207.804255,24,4280.515017,24,4255.033732,24,4153.016314,24,4298.340632,24,4330.414083,24,4321.106421,24,4215.114278,24,4212.939377,24,4205.586835,24,4152.581977,24,4294.094718,24,4196.071875,24,4233.300538,24,4182.347243,24,4204.963817,24,4200.013545,24,4407.490722,24,4221.950987,24,4340.449625,24,4216.92873,24,4270.491186,24,4227.345795,24,4352.792753,24,4154.334314,24,4187.401113,24,4187.473068,24,4206.865539,24,4202.375672,24,4184.84775,24,4288.899558,24,4152.229151,24,4271.418877,24,4212.550851,24,4148.693146,24,4258.078468,24,4150.82386,24,4233.090211,24,4249.143446,24,4174.07526,24,4252.960377,24,4163.639059,24,4301.932101,24,4303.02625,24,4235.973324,24,4196.490796,24,4156.458354,24,4342.019454,24,4295.230986,24,4291.003212,24,4332.868137,24,4278.123345,24,4297.981535,24,4340.143477,24,4275.429924,24,4292.629684,24,4228.667993,24,4287.117534,24,4197.620436,24,4270.83406,24,4365.89196,24,4291.067615,24,4150.588295,24,4212.787917,24,4344.540139,24,4285.781149,24,4201.777577,24,4176.392527,24,4248.370286,24,4186.025239,24,4289.778276,24,4198.059223,24,4346.541958,24,4266.345353,24,4212.609482,24,4216.563929,24,4227.492799,24,4185.64267
[min],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[max],24,4248.864727,24,4193.504224,24,4287.377197,24,4181.339946,24,4285.766313,24,4272.830022,24,4189.112865,24,4271.373618,24,4244.7541,24,4183.25798,24,4236.154763,24,4139.347031,24,4196.186536,24,4213.618362,24,4162.316925,24,4358.381453,24,4327.096436,24,4230.428181,24,4201.22935,24,4196.660229,24,4245.025531,24,4203.527379,24,4207.804255,24,4280.515017,24,4255.033732,24,4153.016314,24,4298.340632,24,4330.414083,24,4321.106421,24,4215.114278,24,4212.939377,24,4205.586835,24,4152.581977,24,4294.094718,24,4196.071875,24,4233.300538,24,4182.347243,24,4204.963817,24,4200.013545,24,4407.490722,24,4221.950987,24,4340.449625,24,4216.92873,24,4270.491186,24,4227.345795,24,4352.792753,24,4154.334314,24,4187.401113,24,4187.473068,24,4206.865539,24,4202.375672,24,4184.84775,24,4288.899558,24,4152.229151,24,4271.418877,24,4212.550851,24,4148.693146,24,4258.078468,24,4150.82386,24,4233.090211,24,4249.143446,24,4174.07526,24,4252.960377,24,4163.639059,24,4301.932101,24,4303.02625,24,4235.973324,24,4196.490796,24,4156.458354,24,4342.019454,24,4295.230986,24,4291.003212,24,4332.868137,24,4278.123345,24,4297.981535,24,4340.143477,24,4275.429924,24,4292.629684,24,4228.667993,24,4287.117534,24,4197.620436,24,4270.83406,24,4365.89196,24,4291.067615,24,4150.588295,24,4212.787917,24,4344.540139,24,4285.781149,24,4201.777577,24,4176.392527,24,4248.370286,24,4186.025239,24,4289.778276,24,4198.059223,24,4346.541958,24,4266.345353,24,4212.609482,24,4216.563929,24,4227.492799,24,4185.64267
[mean],12,2125.88059,12,2104.066793,12,2137.414336,12,2087.103025,12,2137.833833,12,2125.104217,12,2096.411252,12,2131.30944,12,2118.142974,12,2096.598555,12,2116.628177,12,2066.881542,12,2112.073801,12,2098.177431,12,2082.443603,12,2184.606875,12,2173.22953,12,2121.324362,12,2100.860614,12,2108.003903,12,2126.820218,12,2112.918963,12,2103.623343,12,2144.997566,12,2135.408724,12,2073.373436,12,2145.558674,12,2173.249304,12,2150.088786,12,2095.443665,12,2101.050341,12,2093.863269,12,2075.462435,12,2130.659434,12,2099.559535,12,2115.837535,12,2094.822059,12,2107.351884,12,2092.935725,12,2209.023585,12,2112.091321,12,2179.55773,12,2115.110966,12,2133.083959,12,2109.191653,12,2168.410748,12,2067.607738,12,2099.192419,12,2099.450785,12,2102.343295,12,2106.239424,12,2093.82022,12,2151.320291,12,2069.998844,12,2137.001418,12,2103.663207,12,2066.291535,12,2134.875627,12,2077.948193,12,2118.370386,12,2131.758662,12,2093.552,12,2132.374542,12,2066.186758,12,2145.103954,12,2155.527879,12,2122.966364,12,2095.259266,12,2078.469175,12,2169.371956,12,2141.258128,12,2149.126929,12,2176.73622,12,2145.894262,12,2126.684782,12,2184.50508,12,2140.00562,12,2131.771095,12,2104.854534,12,2151.387654,12,2101.225657,12,2134.774177,12,2187.238954,12,2145.222646,12,2070.713908,12,2117.596154,12,2177.888148,12,2142.98499,12,2111.587833,12,2082.226165,12,2127.041079,12,2101.45602,12,2144.142182,12,2095.206251,12,2182.524506,12,2121.067611,12,2102.449329,12,2092.913425,12,2124.308461,12,2081.911529
[total steps],24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption,[step],totalConsumption
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
